---------------------------------------------------------------------------------------------------
Date: 10/13/2025 -- 12:48:46 (uptime: 0d, 00h 00m 09s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
decoder.event.ipv4.opt_pad_required                          | Total                     | 4
decoder.event.icmpv6.unknown_code                            | Total                     | 1
decoder.event.ipv6.zero_len_padn                             | Total                     | 2
tcp.sessions                                                 | Total                     | 19
tcp.ssn_from_pool                                            | Total                     | 19
tcp.segment_from_pool                                        | Total                     | 127
detect.alert                                                 | Total                     | 658
app_layer.flow.http                                          | Total                     | 3
app_layer.tx.http                                            | Total                     | 3
app_layer.flow.tls                                           | Total                     | 13
app_layer.flow.quic                                          | Total                     | 3
app_layer.tx.quic                                            | Total                     | 17
app_layer.flow.mdns                                          | Total                     | 3
app_layer.tx.mdns                                            | Total                     | 95
app_layer.flow.failed_udp                                    | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 9
app_layer.tx.dns_udp                                         | Total                     | 22
app_layer.flow.sip_udp                                       | Total                     | 17
app_layer.error.sip_udp.parser                               | Total                     | 214
flow.mgr.full_hash_pass                                      | Total                     | 7
flow.mgr.rows_per_sec                                        | Total                     | 9175
flow.spare                                                   | Total                     | 9600
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 106
flow.mgr.flows_notimeout                                     | Total                     | 106
memcap.pressure                                              | Total                     | 14
memcap.pressure_max                                          | Total                     | 14
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 9961536
tcp.reassembly_memuse                                        | Total                     | 1953792
http.memuse                                                  | Total                     | 2037
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7151104
---------------------------------------------------------------------------------------------------
Date: 10/13/2025 -- 12:49:42 (uptime: 0d, 00h 01m 05s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 1655
decoder.bytes                                                | Total                     | 305228
decoder.ipv4                                                 | Total                     | 1310
decoder.ipv6                                                 | Total                     | 345
decoder.tcp                                                  | Total                     | 1131
tcp.syn                                                      | Total                     | 29
tcp.synack                                                   | Total                     | 18
tcp.rst                                                      | Total                     | 16
decoder.udp                                                  | Total                     | 504
decoder.icmpv6                                               | Total                     | 16
decoder.avg_pkt_size                                         | Total                     | 184
decoder.max_pkt_size                                         | Total                     | 1480
tcp.active_sessions                                          | Total                     | 21
flow.total                                                   | Total                     | 111
flow.active                                                  | Total                     | 111
flow.tcp                                                     | Total                     | 72
flow.udp                                                     | Total                     | 35
flow.icmpv6                                                  | Total                     | 4
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 16
decoder.event.ipv4.opt_pad_required                          | Total                     | 4
decoder.event.icmpv6.unknown_code                            | Total                     | 1
decoder.event.ipv6.zero_len_padn                             | Total                     | 2
tcp.sessions                                                 | Total                     | 21
tcp.ssn_from_pool                                            | Total                     | 21
tcp.segment_from_pool                                        | Total                     | 136
detect.alert                                                 | Total                     | 740
app_layer.flow.http                                          | Total                     | 5
app_layer.tx.http                                            | Total                     | 5
app_layer.flow.tls                                           | Total                     | 13
app_layer.flow.quic                                          | Total                     | 3
app_layer.tx.quic                                            | Total                     | 17
app_layer.flow.mdns                                          | Total                     | 3
app_layer.tx.mdns                                            | Total                     | 96
app_layer.flow.failed_udp                                    | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 9
app_layer.tx.dns_udp                                         | Total                     | 22
app_layer.flow.sip_udp                                       | Total                     | 19
app_layer.error.sip_udp.parser                               | Total                     | 235
flow.mgr.full_hash_pass                                      | Total                     | 8
flow.mgr.rows_per_sec                                        | Total                     | 9175
flow.spare                                                   | Total                     | 9600
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 110
flow.mgr.flows_notimeout                                     | Total                     | 110
memcap.pressure                                              | Total                     | 14
memcap.pressure_max                                          | Total                     | 14
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 9961536
tcp.reassembly_memuse                                        | Total                     | 1961984
http.memuse                                                  | Total                     | 3738
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7151104
---------------------------------------------------------------------------------------------------
Date: 10/13/2025 -- 12:49:50 (uptime: 0d, 00h 01m 13s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 1777
decoder.bytes                                                | Total                     | 321930
decoder.ipv4                                                 | Total                     | 1418
decoder.ipv6                                                 | Total                     | 359
decoder.tcp                                                  | Total                     | 1213
